YLR331C	Jumonji Interacting Protein
YKL134C	intermediate peptidase|possesses octapeptidyl amino-peptidase activity
YKL133C	Hypothetical ORF
YKL132C	probable folyl-polyglutamate synthetase
YKL131W	Hypothetical ORF
YKL130C	Required for mother cell-specific HO expression
YKL129C	myosin I
YKL128C	phosphomutase homolog
YKL127W	phosphoglucomutase minor isoform
YKL126W	76.5 kDa serine/threonine protein kinase|similarity to protein kinase C, is 90% identical to Ypk2p
YKL125W	DNA independent RNA polymerase I transcription factor
YKL124W	Suppressor of SHR3; confers leflunomide resistance when overexpressed
YKL124W	Suppressor of SHR3; confers leflunomide resistance when overexpressed
YKL123W	Hypothetical ORF
YKL122C	signal recognition particle component
YKL121W	Hypothetical ORF
YKL120W	oxaloacetate transport protein
YKL119C	25.2 kDa protein involved in assembly of vacuolar H(+) ATPase
YKL118W	Involved in meiotic nuclear division.
YKL117W	HSP90 associated co-chaperone
YKL116C	protein kinase
YKL159C	calcineurin inhibitor
YKL158W	
YKL157W	aminopeptidase yscII
YKL156W	ribosomal protein S27A (rp61) (YS20)
YKL155C	mitochondrial ribosome small subunit component
YKL154W	Signal recognition particle receptor beta subunit
YKL153W	Protein required for cell viability
YKL152C	phosphoglycerate mutase
YKL151C	Hypothetical ORF
YKL150W	NADH-cytochrome b5 reductase
YKL149C	RNA lariat debranching enzyme
YKL148C	succinate dehydrogenase flavoprotein subunit
YKL147C	Hypothetical ORF
YKL146W	Gln (Asn), Ile (Leu), Tyr transporter
YKL145W	26S protease subunit component (putative)|ATPase
YKL144C	RNA polymerase III subunit
YKL143W	Protein required for viability at low temperature
YKL142W	ribosomal protein
YKL141W	succinate dehydrogenase cytochrome b
YKL140W	cholesterol esterase|triglyceride lipase
YKL139W	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I
YKL138C	ribosomal protein (YmL31)
YKL137W	Hypothetical ORF
YKL181W	ribose-phosphate pyrophosphokinase
YKL180W	ribosomal protein L17A (L20A) (YL17)
YKL180W	ribosomal protein L17A (L20A) (YL17)
YKL179C	CASP Of Yeast
YKL178C	a-factor receptor
YKL177W	Hypothetical ORF
YKL176C	required for amino acid permease transport from the Golgi to the cell surface. involved in regulated secretion/recycling of nitrogen regulated permeases.
YKL175W	
YKL174C	Hypothetical ORF
YKL173W	U5 snRNP-specific protein related to EF-2
YKL172W	nucleolar protein
YKL171W	Hypothetical ORF
YKL170W	ribosomal protein L14
YKL169C	Hypothetical ORF
YKL168C	Serine/threonine protein kinase of unknown function
YKL167C	16 kDa mitochondrial ribosomal large subunit protein
YKL166C	cAMP-dependent protein kinase catalytic subunit
YKL165C	Required for GPI anchor synthesis
YKL164C	contains tandem internal repeats
YKL163W	contains tandem internal repeats
YKL162C	Hypothetical ORF
YKL161C	Mpk1-like protein kinase; associates with Rlm1p
YKL160W	
YKL206C	Hypothetical ORF
YKL205W	Nuclear pore protein involved in pre-tRNA splicing
YKL204W	functionally analogous to mammalian 4E-BPsfunctional and limited sequence similarity to CAF20
YKL203C	putative protein/phosphatidylinositol kinase involved in signaling activation of translation initiation, distribution of the actin cytoskeleton, and meiosis
YKL202W	Hypothetical ORF
YKL197C	AAA ATPase
YKL196C	v-SNARE
YKL195W	Protein required for cell viability
YKL194C	mitochondrial threonine-tRNA synthetase
YKL193C	Glc7p regulatory subunit
YKL192C	acyl carrier protein
YKL191W	Diptheria toxin resistance protein, required for diphthamide biosynthesis
YKL190W	calcineurin regulatory B subunit|type 2B protein phosphatase
YKL190W	calcineurin regulatory B subunit|type 2B protein phosphatase
YKL189W	Cbk1p and Hym1p regulate two distinct cell morphogenesis pathways: an ACE2-indep. pathway req'd for efficient apical growth and mating projection formation, and an ACE2-dep. pathway req'd for efficient cell separation following cytokinesis.
YKL188C	ABC transporter 2
YKL187C	Hypothetical ORF
YKL186C	mRNA transport regulator
YKL185W	Zinc-finger inhibitor of HO transcription which is asymmetrically localized to the daughter cell nucleus
YKL184W	ornithine decarboxylase
YKL183W	LOw Temperature responsive
YKL182W	acetyl transferase|dehydratase|enoyl reductase|malonyl/palmityl transferase|pentafunctional enzyme
YKL224C	Hypothetical ORF
YKL222C	Hypothetical ORF
YKL221W	monocarboxylate permease homologue
YKL220C	ferric reductase
YKL219W	Protein with similarity to subtelomerically-encoded proteins such as Cos5p, Ybr302p, Cos3p, Cos1p, Cos4p, Cos8p, Cos6p, Cos9p
YKL218C	Pyridoxal-5'phosphate-dependent enzyme homologous to mouse glial serine racemase
YKL217W	carboxylic acid transporter protein homolog
YKL216W	dihydroorotate dehydrogenase
YKL215C	Hypothetical ORF
YKL214C	Yeast RNA Annealing protein
YKL213C	regulatory component of the proteasome pathway
YKL212W	phosphoinositide phosphatase
YKL211C	anthranilate synthase component II|indole-3-phosphate
YKL210W	ubiquitin activating enzyme e1
YKL209C	ABC transporter|glycoprotein
YKL208W	Subunit of complex involved in processing of the 3' end of cytochrome b pre-mRNA
YKL207W	Hypothetical ORF
YJR149W	Hypothetical ORF
YJR150C	cell wall mannoprotein|induced during anaerobic growth
YJR151C	cell wall mannoprotein
YJR152W	allantoate permease
YJR153W	endo-polygalacturonase
YJR154W	Hypothetical ORF
YJR155W	aryl-alcohol dehydrogenase (putative)
YJR156C	thiamine biosynthetic enzyme
YJR157W	Hypothetical ORF
YJR158W	hexose permease
YJR159W	sorbitol dehydrogenase, sorbitol-induced
YJR160C	alpha-glucoside permease
YJL136w-a	Identified by SAGE
YJL136w-a	Identified by SAGE
YJR025c-a	
YJR135w-a	mitochondrial protein import machinery subunit
YJR092W	co-assembles with Bud3p at bud sites
YJR127C	Product of gene unknown
YJR128W	Hypothetical ORF
YJR129C	Hypothetical ORF
YJR130C	cystathionine gamma-synthase
YJR131W	alpha-mannosidase
YJR132W	Upf1p interacting protein|importin beta homolog Kap119p
YJR133W	xanthine phosphoribosyl transferase
YJR134C	involved in carbohydrate metabolism
YJR135C	Required for maintenance of chromosomes and minichromosomes
YJR136C	Hypothetical ORF
YJR137C	sulfite reductase (putative)
YJR138W	Product of gene unknown
YJR139C	L-homoserine:NADP oxidoreductase|homoserine dehydrogenase
YJR140C	Involved in cell-cycle regulation of histone transcription
YJR141W	Protein required for cell viability
YJR142W	Hypothetical ORF
YJR143C	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase
YJR144W	mitochondrial nucleoid protein
YJR145C	ribosomal protein S4A (YS6) (rp5) (S7A)
YJR146W	Hypothetical ORF
YJR147W	heat shock transcription factor homolog
YJR148W	branched-chain amino acid transaminase
YJR104C	Cu, Zn superoxide dismutase
YJR105W	adenosine kinase
YJR106W	ExtraCellular Mutant
YJR107W	Hypothetical ORF
YJR108W	aberrant microtubules
YJR109C	carbamyl phosphate synthetase
YJR110W	Gene product shows sequence similarity to conserved myotubularin dual specificity phosphatase [PTP/DSP] gene family [Laporte et al. [1998] Hum Mol Gen 7:1703]
YJR111C	Hypothetical ORF
YJR112W	Involved in nuclear function
YJR113C	mitochondrial ribosome small subunit component
YJR114W	Hypothetical ORF
YJR115W	Hypothetical ORF
YJR116W	Hypothetical ORF
YJR117W	zinc metallo-protease
YJR118C	Product of gene unknown
YJR119C	Hypothetical ORF
YJR120W	Hypothetical ORF
YJR121W	F(1)F(0)-ATPase complex beta subunit
YJR122W	CCR4 transcriptional complex component
YJR123W	ribosomal protein S5 (S2) (rp14) (YS8)
YJR124C	Hypothetical ORF
YJR125C	epsin N-terminal homology-containing protein
YJR126C	
YJR079W	Hypothetical ORF
YJR082C	Stable subunit of the NuA4 complex
YJR083C	Hypothetical ORF
YJR084W	COP9 signalosome (CSN) subunit
YJR085C	Hypothetical ORF
YJR086W	G protein gamma subunit|coupled to mating factor receptor
YJR087W	Hypothetical ORF
YJR088C	Hypothetical ORF
YJR089W	baculoviral IAP repeat-containing protein
YJR090C	F box protein with several leucine rich repeats
YJR091C	benomyl dependent tubulin mutant
YJR093C	polyadenylation factor I (PF I)
YJR094C	Transcriptional activator of meiotic gene expression.
YJR094W-A	ribosomal protein L43B
YJR095W	succinate-fumarate transport protein
YJR096W	Protein with similarity to aldo-keto reductases
YJR097W	Hypothetical ORF
YJR098C	Hypothetical ORF
YJR099W	ubiquitin hydrolase
YJR100C	Hypothetical ORF
YJR101W	mitochondrial ribosome small subunit component
YJR102C	vacuolar protein sorting (putative)
YJR103W	CTP synthase
YJR059W	Putative serine/threonine protein kinase that enhances spermine uptake
YJR060W	basic helix-loop-helix protein
YJR061W	Hypothetical ORF
YJR062C	52 kDa amidase specific for N-terminal asparagine and glutamine
YJR063W	RNA polymerase I A12.2 subunit
YJR064W	chaperonin subunit epsilon subunit
YJR065C	actin-related gene
YJR066W	phosphatidylinositol kinase homolog
YJR067C	Essential protein of unknown function
YJR068W	replication factor C subunit 2|similar to human RFC 37 kDa subunit
YJR069C	Product of gene unknown
YJR070C	Hypothetical ORF
YJR071W	Hypothetical ORF
YJR072C	Protein required for cell viability
YJR073C	unsaturated phospholipid N-methyltransferase
YJR074W	nuclear protein that interacts with GTP-Gsp1p
YJR075W	mannosyltransferase (putative)
YJR076C	10 nm filament component of mother-bud neck
YJR077C	Product of gene unknown
YJR078W	Tryptophan 2,3-dioxygenase
YJR079W	Hypothetical ORF
YJR080C	Hypothetical ORF
YJR036C	ubiquitin ligase (E3)
YJR037W	Hypothetical ORF
YJR038C	Hypothetical ORF
YJR039W	Hypothetical ORF
YJR040W	transport protein involved in intracellular iron metabolism (putative)
YJR041C	Protein required for cell viability
YJR042W	nuclear pore complex subunit
YJR043C	55 kDa|DNA polymerase delta subunit
YJR044C	Involved in Golgi to vacuolar targeting
YJR045C	mitochondrial matrix protein involved in protein import|Endo.SceI endonuclease subunit
YJR046W	Essential protein.
YJR047C	translation initiation factor eIF-5A, anaerobically expressed form
YJR048W	iso-1-cytochrome c
YJR049C	associated with ferric reductase
YJR050W	Interacts with Syf1p, Prp39p and Ypl213wp.
YJR051W	osmotic growth protein
YJR052W	nucleotide excision NEF4 component
YJR053W	Byr four alike
YJR054W	Hypothetical ORF
YJR055W	Protein required for growth at high temperature
YJR056C	Hypothetical ORF
YJR057W	thymidylate kinase
YJR058C	clathrin associated protein complex small subunit
YJR011C	Hypothetical ORF
YJR012C	Protein required for cell viability
YJR013W	Protein required for cell viability
YJR014W	Hypothetical ORF
YJR015W	Hypothetical ORF
YJR016C	dihydroxyacid dehydratase
YJR017C	peptidyl-prolyl cis-trans isomerase (PPIase)
YJR018W	Hypothetical ORF
YJR019C	acyl-CoA thioesterase
YJR020W	Hypothetical ORF
YJR021C	ds break formation complex subunit
YJR021C	ds break formation complex subunit
YJR022W	snRNP protein
YJR023C	Protein required for cell viability
YJR024C	Hypothetical ORF
YJR025C	3-hydroxyanthranilic acid dioxygenase
YJR030C	Hypothetical ORF
YJR031C	GDP/GTP exchange factor
YJR032W	cyclophilin 40|peptidyl-prolyl cis-trans isomerase (PPIase)
YJR033C	Regulator of (H+)-ATPase in vacuolar membrane
YJR034W	Required for assembly of active cytochrome c oxidase
YJR035W	DNA dependent ATPase|human Cockayne syndrome B gene ERCC6 homolog
YJL011C	Specific subunit of Pol III which participates together with C34 in the recruitment of Pol III by the preinitiation complex.
YJL010C	Protein required for cell viability
YJL009W	Protein required for cell viability
YJL008C	chaperonin containing T-complex subunit eight component
YJL007C	Hypothetical ORF
YJL006C	RNA polymerase II C-terminal domain kinase beta subunit, similar to cyclin
YJL005W	adenylate cyclase
YJL004C	Multicopy suppressor of ypt6 null mutation
YJL003W	Required for assembly of cytochrome oxidase
YJL002C	64 kDa, alpha subunit of oligosaccharyltransferase complex; homologous to mammalian ribophorin I
YJL001W	20S proteasome subunit
YJL001W	20S proteasome subunit
YJL001W	20S proteasome subunit
YJR001W	Gln (Asn), Ile (Leu), Tyr transporter
YJR002W	U3 snoRNP protein
YJR003C	Hypothetical ORF
YJR004C	alpha-agglutinin
YJR005W	beta-adaptin|clathrin associated protein complex large subunit
YJR006W	DNA polymerase delta 55 kDa subunit
YJR007W	Translation initiation factor eIF-2 alpha subunit
YJR008W	Hypothetical ORF
YJR009C	glyceraldehyde 3-phosphate dehydrogenase
YJR010W	ATP sulfurylase
YJR010C-A	Homolog of the SPC12 subunit of mammalian signal peptidase complex. Protein is important for efficient signal peptidase activity.
YJL033W	RNA helicase (putative)
YJL032W	Protein required for cell viability
YJL031C	geranylgeranyltransferase type II alpha subunit (PGGTase-II, alpha subunit)
YJL030W	spindle checkpoint complex subunit
YJL029C	hydrophilic protein that is peripherally associated with the late Golgi and forms a stable complex with Vps52p and Vps54p
YJL028W	Hypothetical ORF
YJL027C	Hypothetical ORF
YJL026W	ribonucleotide reductase subunit|ribonucleotide reductase, small (R2) subunit
YJL025W	yeast Pol I core factor (CF) also composed of Rrn11p, Rrn6p and TATA-binding protein
YJL024C	sigma3-like subunit of the yeast AP-3 complex which functions in transport of alkaline phosphatase to the vacuole via the alternate pathway, suppressor of loss of casein kinase 1 function
YJL023C	Nuclear gene encoding mitochondrial protein
YJL022W	Hypothetical ORF
YJL021C	
YJL020C	shows synthetic fitness defect with bni1 mutants and associates with the Bee1p-Vrp1p-Myo3/5p complex
YJL019W	nuclear envelope protein|Spindle pole body duplication
YJL019W	nuclear envelope protein|Spindle pole body duplication
YJL018W	
YJL017W	Hypothetical ORF
YJL016W	Hypothetical ORF
YJL015C	Protein required for cell viability
YJL014W	gamma chaperonin subunit
YJL013C	spindle checkpoint complex subunit
YJL012C	polyphosphate synthetase (putative)
YJL055W	Hypothetical ORF
YJL054W	translocase for the insertion of proteins into the mitochondrial inner membrane
YJL053W	vacuolar protein similar to mouse gene H58
YJL052W	glyceraldehyde-3-phosphate dehydrogenase 1
YJL052W	glyceraldehyde-3-phosphate dehydrogenase 1
YJL051W	Hypothetical ORF
YJL050W	RNA helicase
YJL049W	Hypothetical ORF
YJL048C	Hypothetical ORF
YJL047C	Cullin family member; subunit of a complex containing ubiquitin ligase activity; binds HRT1 and is modified by the ubiquitin like protein, RUB1; Regulator of Ty1 Transposition
YJL046W	Hypothetical ORF
YJL045W	Similar to SDH1
YJL044C	GTPase activating protein (GAP) for Ypt6
YJL043W	Hypothetical ORF
YJL042W	microtubule-associated protein (MAP) (putative)
YJL041W	nuclear pore complex subunit
YJL039C	nuclear pore complex subunit
YJL038C	Hypothetical ORF
YJL037W	Hypothetical ORF
YJL036W	Sorting NeXin
YJL035C	tRNA-specific adenosine deaminase subunit
YJL034W	HSP70 family|mammalian BiP (GPR78) homolog
YJL078C	Pathogen Related in Sc, contains homology to the plant PR-1 class of pathogen related proteins. The protein sequence is over 60% identical with the Pry2p & Pry3p over 145 resid. PRY1 is >35% identical (50% similar) to tobacco PR-1c protein.
YJL077C	Increased Copper Sensitivity
YJL076W	Nucleolar protein involved in exit from mitosis
YJL075C	
YJL074C	SMC chromosomal ATPase family member
YJL073W	DnaJ-like protein of the endoplasmic reticulum membrane
YJL072C	a subunit of the GINS complex required for chromosomal DNA replication
YJL071W	acetylglutamate synthase
YJL070C	Hypothetical ORF
YJL069C	U3 snoRNP protein|U3 snoRNA associated protein
YJL068C	Hypothetical ORF
YJL067W	Hypothetical ORF
YJL066C	mitochondrial membrane protein
YJL065C	Hypothetical ORF
YJL064W	Hypothetical ORF
YJL063C	ribosomal protein (YmL8) (E. coli L17)
YJL062W	major facilitator superfamily (putative)|membrane protein (putative)
YJL061W	82 kDa protein, with putative coiled-coil domain, has carboxy-terminal domain, containing heptad repeats, that binds Nsp1p|nuclear pore complex subunit|nucleoporin
YJL060W	Arylformamidase
YJL059W	Homolog of human CLN3. vacuolar/lysosomal membrane protein.
YJL058C	61 kDa BInding protein of Tor2p
YJL057C	probable serine/threonine kinase
YJL056C	metalloregulatory protein involved in zinc-responsive transcriptional regulation
YJL100W	LAs17 Binding protein
YJL099W	Involved in chitin biosynthesis and/or its regulation
YJL098W	SIT4 associated protein, MW of 185 kDa
YJL097W	Protein required for cell viability
YJL096W	ribosomal protein large subunit
YJL095W	MEKK
YJL094C	putative K+/H+ antiporter
YJL093C	outward-rectifier potassium channel
YJL092W	DNA helicase
YJL091C	GPI-anchored wall protein transfer 1
YJL090C	DNA polymerase II complex
YJL089W	Possibly involved in Snf1p regulated transcriptional activation
YJL088W	ornithine carbamoyltransferase
YJL087C	tRNA ligase
YJL086C	Protein required for cell viability
YJL085W	exocyst complex 70 kDa component
YJL084C	Hypothetical ORF
YJL083W	Hypothetical ORF
YJL082W	Similar to Ykr018p
YJL081C	54.8 kDa protein|actin related protein
YJL080C	May be required during cell division for faithful partitioning of the ER-nuclear envelope membranes, involved in control of mitotic chromsome transmission
YJL079C	Pathogen Related in Sc, contains homology to the plant PR-1 class of pathogen related proteins. The protein sequence is over 60% identical with the Pry2p & Pry3p over 145 resid. PRY1 is >35% identical (50% similar) to tobacco PR-1c protein.
YJL125C	subunit of tRNA(1-methyladenosine) methyltransferase, along with Gcd10p
YJL124C	Like Sm protein; the finding that Lsm1 contains the Sm consensus motifs and most closely resembles Sm-B has been controversial (Fromont-Racine et al, 1997 Nature Genetics 16:277-282, and Bertrand Seraphin, personal communication).
